No.	Title	Link	Authors	Keywords
1	Compositional Plan Vectors	https://papers.nips.cc/paper/2019/hash/00989c20ff1386dc386d8124ebcba1a5-Abstract.html	Coline Devin, Daniel Geng, Pieter Abbeel, Trevor Darrell, Sergey Levine	
2	Learning to Propagate for Graph Meta-Learning	https://papers.nips.cc/paper/2019/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html	LU LIU, Tianyi Zhou, Guodong Long, Jing Jiang, Chengqi Zhang	
3	XNAS: Neural Architecture Search with Expert Advice	https://papers.nips.cc/paper/2019/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html	Niv Nayman, Asaf Noy, Tal Ridnik, Itamar Friedman, Rong Jin, Lihi Zelnik	
4	Multi-resolution Multi-task Gaussian Processes	https://papers.nips.cc/paper/2019/hash/0118a063b4aae95277f0bc1752c75abf-Abstract.html	Oliver Hamelijnck, Theodoros Damoulas, Kangrui Wang, Mark Girolami	
5	Deep Equilibrium Models	https://papers.nips.cc/paper/2019/hash/01386bd6d8e091c2ab4c7c7de644d37b-Abstract.html	Shaojie Bai, J. Zico Kolter, Vladlen Koltun	
6	Cross Attention Network for Few-shot Classification	https://papers.nips.cc/paper/2019/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html	Ruibing Hou, Hong Chang, Bingpeng MA, Shiguang Shan, Xilin Chen	
7	Order Optimal One-Shot Distributed Learning	https://papers.nips.cc/paper/2019/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html	Arsalan Sharifnassab, Saber Salehkaleybar, S. Jamaloddin Golestani	
8	Exact Gaussian Processes on a Million Data Points	https://papers.nips.cc/paper/2019/hash/01ce84968c6969bdd5d51c5eeaa3946a-Abstract.html	Ke Wang, Geoff Pleiss, Jacob Gardner, Stephen Tyree, Kilian Q. Weinberger, Andrew Gordon Wilson	
9	Asymmetric Valleys: Beyond Sharp and Flat Local Minima	https://papers.nips.cc/paper/2019/hash/01d8bae291b1e4724443375634ccfa0e-Abstract.html	Haowei He, Gao Huang, Yang Yuan	
10	Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization	https://papers.nips.cc/paper/2019/hash/021e1ea77bd91aaa0fc4d01a943a654e-Abstract.html	Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann	
11	Think out of the "Box": Generically-Constrained Asynchronous Composite Optimization and Hedging	https://papers.nips.cc/paper/2019/hash/0224cd598e48c5041c7947fd5cb20d53-Abstract.html	Pooria Joulani, András György, Csaba Szepesvari	
12	Improved Precision and Recall Metric for Assessing Generative Models	https://papers.nips.cc/paper/2019/hash/0234c510bc6d908b28c70ff313743079-Abstract.html	Tuomas Kynkäänniemi, Tero Karras, Samuli Laine, Jaakko Lehtinen, Timo Aila	
13	A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport	https://papers.nips.cc/paper/2019/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html	Arun Jambulapati, Aaron Sidford, Kevin Tian	
14	Zero-Shot Semantic Segmentation	https://papers.nips.cc/paper/2019/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html	Maxime Bucher, Tuan-Hung VU, Matthieu Cord, Patrick Pérez	
15	Hyperspherical Prototype Networks	https://papers.nips.cc/paper/2019/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html	Pascal Mettes, Elise van der Pol, Cees Snoek	
16	Lower Bounds on Adversarial Robustness from Optimal Transport	https://papers.nips.cc/paper/2019/hash/02bf86214e264535e3412283e817deaa-Abstract.html	Arjun Nitin Bhagoji, Daniel Cullina, Prateek Mittal	
17	A Nonconvex Approach for Exact and Efficient Multichannel Sparse Blind Deconvolution	https://papers.nips.cc/paper/2019/hash/02e656adee09f8394b402d9958389b7d-Abstract.html	Qing Qu, Xiao Li, Zhihui Zhu	
18	Generalization of Reinforcement Learners with Working and Episodic Memory	https://papers.nips.cc/paper/2019/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html	Meire Fortunato, Melissa Tan, Ryan Faulkner, Steven Hansen, Adrià Puigdomènech Badia, Gavin Buttimore, Charles Deck, Joel Z. Leibo, Charles Blundell	
19	DTWNet: a Dynamic Time Warping Network	https://papers.nips.cc/paper/2019/hash/02f063c236c7eef66324b432b748d15d-Abstract.html	Xingyu Cai, Tingyang Xu, Jinfeng Yi, Junzhou Huang, Sanguthevar Rajasekaran	
20	Learning Mean-Field Games	https://papers.nips.cc/paper/2019/hash/030e65da2b1c944090548d36b244b28d-Abstract.html	Xin Guo, Anran Hu, Renyuan Xu, Junzi Zhang	
21	Learning Erdos-Renyi Random Graphs via Edge Detecting Queries	https://papers.nips.cc/paper/2019/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html	Zihan Li, Matthias Fresacher, Jonathan Scarlett	
22	Cormorant: Covariant Molecular Neural Networks	https://papers.nips.cc/paper/2019/hash/03573b32b2746e6e8ca98b9123f2249b-Abstract.html	Brandon Anderson, Truong Son Hy, Risi Kondor	
23	Flattening a Hierarchical Clustering through Active Learning	https://papers.nips.cc/paper/2019/hash/03793ef7d06ffd63d34ade9d091f1ced-Abstract.html	Fabio Vitale, Anand Rajagopalan, Claudio Gentile	
24	Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves	https://papers.nips.cc/paper/2019/hash/0394ea68951e3299bcdfa75a097d7c11-Abstract.html	Stefan Meintrup, Alexander Munteanu, Dennis Rohde	
25	Explicit Explore-Exploit Algorithms in Continuous State Spaces	https://papers.nips.cc/paper/2019/hash/03b264c595403666634ac75d828439bc-Abstract.html	Mikael Henaff	
26	How degenerate is the parametrization of neural networks with the ReLU activation function?	https://papers.nips.cc/paper/2019/hash/04115ec378e476c56d19d827bcf8db56-Abstract.html	Dennis Maximilian Elbrächter, Julius Berner, Philipp Grohs	
