No.	Title	Link	Authors	Keywords
26	MatryODShka: Real-time 6DoF Video View Synthesis using Multi-Sphere Images	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1737_ECCV_2020_paper.php	Benjamin Attal, Selena Ling, Aaron Gokaslan, Christian Richardt, James Tompkin	
27	Learning and Aggregating Deep Local Descriptors for Instance-level Recognition	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1793_ECCV_2020_paper.php	Giorgos Tolias, Tomas Jenicek, Ondřej Chum	
28	A Consistently Fast and Globally Optimal Solution to the Perspective-n-Point Problem	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1969_ECCV_2020_paper.php	George Terzakis, Manolis Lourakis	
29	Learn to Recover Visible Color for Video Surveillance in a Day	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2096_ECCV_2020_paper.php	Guangming Wu, Yinqiang Zheng, Zhiling Guo, Zekun Cai, Xiaodan Shi, Xin Ding, Yifei Huang, Yimin Guo, Ryosuke Shibasaki	
30	Deep Fashion3D: A Dataset and Benchmark for 3D Garment Reconstruction from Single Images	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2149_ECCV_2020_paper.php	Heming Zhu, Yu Cao, Hang Jin, Weikai Chen, Dong Du, Zhangye Wang, Shuguang Cui, Xiaoguang Han	
31	Spatially Adaptive Inference with Stochastic Feature Sampling and Interpolation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2193_ECCV_2020_paper.php	Zhenda Xie, Zheng Zhang, Xizhou Zhu, Gao Huang, Stephen Lin	
32	BorderDet: Border Feature for Dense Object Detection	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2211_ECCV_2020_paper.php	Han Qiu, Yuchen Ma, Zeming Li, Songtao Liu, Jian Sun	
33	Regularization with Latent Space Virtual Adversarial Training	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2258_ECCV_2020_paper.php	Genki Osada, Budrul Ahsan, Revoti Prasad Bora, Takashi Nishide	
34	Du²Net: Learning Depth Estimation from Dual-Cameras and Dual-Pixels	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2263_ECCV_2020_paper.php	Yinda Zhang, Neal Wadhwa, Sergio Orts-Escolano, Christian Häne, Sean Fanello, Rahul Garg	
35	Model-Agnostic Boundary-Adversarial Sampling for Test-Time Generalization in Few-Shot learning	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2307_ECCV_2020_paper.php	Jaekyeom Kim, Hyoungseok Kim, Gunhee Kim	
36	Targeted Attack for Deep Hashing based Retrieval	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2463_ECCV_2020_paper.php	Jiawang Bai, Bin Chen, Yiming Li, Dongxian Wu, Weiwei Guo, Shu-Tao Xia, En-Hui Yang	
37	Gradient Centralization: A New Optimization Technique for Deep Neural Networks	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2471_ECCV_2020_paper.php	Hongwei Yong, Jianqiang Huang, Xiansheng Hua, Lei Zhang	
38	Content-Aware Unsupervised Deep Homography Estimation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2503_ECCV_2020_paper.php	Jirong Zhang, Chuan Wang, Shuaicheng Liu, Lanpeng Jia, Nianjin Ye, Jue Wang, Ji Zhou, Jian Sun	
39	Multi-View Optimization of Local Feature Geometry	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2556_ECCV_2020_paper.php	Mihai Dusmanu, Johannes L. Schönberger, Marc Pollefeys	
40	The Phong Surface: Efficient 3D Model Fitting using Lifted Optimization	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2597_ECCV_2020_paper.php	Jingjing Shen, Thomas J. Cashman, Qi Ye, Tim Hutton, Toby Sharp, Federica Bogo, Andrew Fitzgibbon, Jamie Shotton	
41	Forecasting Human-Object Interaction: Joint Prediction of Motor Attention and Actions in First Person Video	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2641_ECCV_2020_paper.php	Miao Liu, Siyu Tang, Yin Li, James M. Rehg	
42	Learning Stereo from Single Images	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2683_ECCV_2020_paper.php	Jamie Watson, Oisin Mac Aodha, Daniyar Turmukhambetov, Gabriel J. Brostow, Michael Firman	
43	Prototype Rectification for Few-Shot Learning	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2748_ECCV_2020_paper.php	Jinlu Liu, Liang Song, Yongqiang Qin	
44	Learning Feature Descriptors using Camera Pose Supervision	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2784_ECCV_2020_paper.php	Qianqian Wang, Xiaowei Zhou, Bharath Hariharan, Noah Snavely	
45	Semantic Flow for Fast and Accurate Scene Parsing	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2785_ECCV_2020_paper.php	Xiangtai Li, Ansheng You, Zhen Zhu, Houlong Zhao, Maoke Yang, Kuiyuan Yang, Shaohua Tan, Yunhai Tong	
46	Appearance Consensus Driven Self-Supervised Human Mesh Recovery	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2788_ECCV_2020_paper.php	Jogendra Nath Kundu, Mugalodi Rakesh, Varun Jampani, Rahul Mysore Venkatesh, R. Venkatesh Babu	
47	Diffraction Line Imaging	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2825_ECCV_2020_paper.php	Mark Sheinin, Dinesh N. Reddy, Matthew O’Toole, Srinivasa G. Narasimhan	
48	Aligning and Projecting Images to Class-conditional Generative Networks	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2834_ECCV_2020_paper.php	Minyoung Huh, Richard Zhang, Jun-Yan Zhu, Sylvain Paris, Aaron Hertzmann	
49	Suppress and Balance: A Simple Gated Network for Salient Object Detection	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2852_ECCV_2020_paper.php	Xiaoqi Zhao, Youwei Pang, Lihe Zhang, Huchuan Lu, Lei Zhang	
50	Visual Memorability for Robotic Interestingness via Unsupervised Online Learning	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2904_ECCV_2020_paper.php	Chen Wang, Wenshan Wang, Yuheng Qiu, Yafei Hu, Sebastian Scherer	
51	Post-Training Piecewise Linear Quantization for Deep Neural Networks	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2949_ECCV_2020_paper.php	Jun Fang, Ali Shafiee, Hamzah Abdel-Aziz, David Thorsley, Georgios Georgiadis, Joseph H. Hassoun	
52	Joint Disentangling and Adaptation for Cross-Domain Person Re-Identification	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2974_ECCV_2020_paper.php	Yang Zou, Xiaodong Yang, Zhiding Yu, B.V.K. Vijaya Kumar, Jan Kautz	
53	In-Home Daily-Life Captioning Using Radio Signals	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/2978_ECCV_2020_paper.php	Lijie Fan, Tianhong Li, Yuan Yuan, Dina Katabi	
54	Self-Challenging Improves Cross-Domain Generalization	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3018_ECCV_2020_paper.php	Zeyi Huang, Haohan Wang, Eric P. Xing, Dong Huang	
55	A Competence-aware Curriculum for Visual Concepts Learning via Question Answering	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3029_ECCV_2020_paper.php	Qing Li, Siyuan Huang, Yining Hong, Song-Chun Zhu	
56	Multitask Learning Strengthens Adversarial Robustness	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3047_ECCV_2020_paper.php	Chengzhi Mao, Amogh Gupta, Vikram Nitin, Baishakhi Ray, Shuran Song , Junfeng Yang, Carl Vondrick	
57	S2DNAS: Transforming Static CNN Model for Dynamic Inference via Neural Architecture Search	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3054_ECCV_2020_paper.php	Zhihang Yuan, Bingzhe Wu, Guangyu Sun, Zheng Liang, Shiwan Zhao, Weichen Bi	
58	Improving Deep Video Compression by Resolution-adaptive Flow Coding	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3112_ECCV_2020_paper.php	Zhihao Hu, Zhenghao Chen, Dong Xu, Guo Lu, Wanli Ouyang, Shuhang Gu	
59	Motion Capture from Internet Videos	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3158_ECCV_2020_paper.php	Junting Dong, Qing Shuai, Yuanqing Zhang, Xian Liu, Xiaowei Zhou, Hujun Bao	
60	Appearance-Preserving 3D Convolution for Video-based Person Re-identification	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3183_ECCV_2020_paper.php	Xinqian Gu, Hong Chang, Bingpeng Ma, Hongkai Zhang, Xilin Chen	
61	Solving the Blind Perspective-n-Point Problem End-To-End With Robust Differentiable Geometric Optimization	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3241_ECCV_2020_paper.php	Dylan Campbell, Liu Liu, Stephen Gould	
62	Exploiting Deep Generative Prior for Versatile Image Restoration and Manipulation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3265_ECCV_2020_paper.php	Xingang Pan, Xiaohang Zhan, Bo Dai, Dahua Lin, Chen Change Loy, Ping Luo	
63	Deep Spatial-angular Regularization for Compressive Light Field Reconstruction over Coded Apertures	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3312_ECCV_2020_paper.php	Mantang Guo, Junhui Hou, Jing Jin, Jie Chen, Lap-Pui Chau	
64	Video-based Remote Physiological Measurement via Cross-verified Feature Disentangling	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3331_ECCV_2020_paper.php	Xuesong Niu, Zitong Yu, Hu Han, Xiaobai Li, Shiguang Shan, Guoying Zhao	
65	Combining Implicit Function Learning and Parametric Models for 3D Human Reconstruction	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3356_ECCV_2020_paper.php	Bharat Lal Bhatnagar, Cristian Sminchisescu, Christian Theobalt, Gerard Pons-Moll	
66	Orientation-aware Vehicle Re-identification with Semantics-guided Part Attention Network	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3376_ECCV_2020_paper.php	Tsai-Shien Chen, Chih-Ting Liu, Chih-Wei Wu, Shao-Yi Chien	
67	Mining Cross-Image Semantics for Weakly Supervised Semantic Segmentation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3387_ECCV_2020_paper.php	Guolei Sun, Wenguan Wang, Jifeng Dai, Luc Van Gool	
68	CoReNet: Coherent 3D Scene Reconstruction from a Single RGB Image	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3439_ECCV_2020_paper.php	Stefan Popov, Pablo Bauszat, Vittorio Ferrari	
69	Layer-wise Conditioning Analysis in Exploring the Learning Dynamics of DNNs	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3482_ECCV_2020_paper.php	Lei Huang, Jie Qin, Li Liu, Fan Zhu, Ling Shao	
70	RAFT: Recurrent All-Pairs Field Transforms for Optical Flow	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3526_ECCV_2020_paper.php	Zachary Teed, Jia Deng	
71	Domain-invariant Stereo Matching Networks	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3528_ECCV_2020_paper.php	Feihu Zhang, Xiaojuan Qi, Ruigang Yang, Victor Prisacariu, Benjamin Wah, Philip Torr	
72	DeepHandMesh: A Weakly-supervised Deep Encoder-Decoder Framework for High-fidelity Hand Mesh Modeling	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3538_ECCV_2020_paper.php	Gyeongsik Moon, Takaaki Shiratori, Kyoung Mu Lee	
73	Content Adaptive and Error Propagation Aware Deep Video Compression	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3544_ECCV_2020_paper.php	Guo Lu, Chunlei Cai, Xiaoyun Zhang, Li Chen, Wanli Ouyang, Dong Xu , Zhiyong Gao	
74	Towards Streaming Perception	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3553_ECCV_2020_paper.php	Mengtian Li, Yu-Xiong Wang, Deva Ramanan	
75	Towards Automated Testing and Robustification by Semantic Adversarial Data Generation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3570_ECCV_2020_paper.php	Rakshith Shetty, Mario Fritz, Bernt Schiele	
76	Adversarial Generative Grammars for Human Activity Prediction	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3582_ECCV_2020_paper.php	AJ Piergiovanni, Anelia Angelova, Alexander Toshev, Michael S. Ryoo	
77	GDumb: A Simple Approach that Questions Our Progress in Continual Learning	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3587_ECCV_2020_paper.php	Ameya Prabhu, Philip H. S. Torr, Puneet K. Dokania	
78	Learning Lane Graph Representations for Motion Forecasting	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3622_ECCV_2020_paper.php	Ming Liang, Bin Yang, Rui Hu, Yun Chen, Renjie Liao, Song Feng, Raquel Urtasun	
79	What Matters in Unsupervised Optical Flow	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3651_ECCV_2020_paper.php	Rico Jonschkowski, Austin Stone, Jonathan T. Barron, Ariel Gordon, Kurt Konolige, Anelia Angelova	
