No.	Title	Link	Authors	Keywords
29	Fast Task Inference with Variational Intrinsic Successor Features	https://openreview.net/forum?id=BJeAHkrYDS	Steven Hansen, Will Dabney, Andre Barreto, David Warde-Farley, Tom Van de Wiele, Volodymyr Mnih	Reinforcement Learning, Variational Intrinsic Control, Successor Features
30	Learning to Balance: Bayesian Meta-Learning for Imbalanced and Out-of-distribution Tasks	https://openreview.net/forum?id=rkeZIJBYvr	Hae Beom Lee, Hayeon Lee, Donghyun Na, Saehoon Kim, Minseop Park, Eunho Yang, Sung Ju Hwang	meta-learning, few-shot learning, Bayesian neural network, variational inference, learning to learn, imbalanced and out-of-distribution tasks for few-shot learning
31	RNA Secondary Structure Prediction By Learning Unrolled Algorithms	https://openreview.net/forum?id=S1eALyrYDH	Xinshi Chen, Yu Li, Ramzan Umarov, Xin Gao, Le Song	RNA secondary structure prediction, learning algorithm, deep architecture design, computational biology
32	Watch the Unobserved: A Simple Approach to Parallelizing Monte Carlo Tree Search	https://openreview.net/forum?id=BJlQtJSKDB	Anji Liu, Jianshu Chen, Mingze Yu, Yu Zhai, Xuewen Zhou, Ji Liu	parallel Monte Carlo Tree Search (MCTS), Upper Confidence bound for Trees (UCT), Reinforcement Learning (RL)
33	Target-Embedding Autoencoders for Supervised Representation Learning	https://openreview.net/forum?id=BygXFkSYDH	Daniel Jarrett, Mihaela van der Schaar	autoencoders, supervised learning, representation learning, target-embedding, label-embedding
34	Reformer: The Efficient Transformer	https://openreview.net/forum?id=rkgNKkHtvB	Nikita Kitaev, Lukasz Kaiser, Anselm Levskaya	attention, locality sensitive hashing, reversible layers
35	Rotation-invariant clustering of neuronal responses in primary visual cortex	https://openreview.net/forum?id=rklr9kHFDB	Ivan Ustyuzhaninov, Santiago A. Cadena, Emmanouil Froudarakis, Paul G. Fahey, Edgar Y. Walker, Erick Cobos, Jacob Reimer, Fabian H. Sinz, Andreas S. Tolias, Matthias Bethge, Alexander S. Ecker	computational neuroscience, neural system identification, functional cell types, deep learning, rotational equivariance
36	Causal Discovery with Reinforcement Learning	https://openreview.net/forum?id=S1g2skStPB	Shengyu Zhu, Ignavier Ng, Zhitang Chen	causal discovery, structure learning, reinforcement learning, directed acyclic graph
37	Intrinsically Motivated Discovery of Diverse Patterns in Self-Organizing Systems	https://openreview.net/forum?id=rkg6sJHYDr	Chris Reinke, Mayalen Etcheverry, Pierre-Yves Oudeyer	deep learning, unsupervised Learning, self-organization, game-of-life
38	Restricting the Flow: Information Bottlenecks for Attribution	https://openreview.net/forum?id=S1xWh1rYwB	Karl Schulz, Leon Sixt, Federico Tombari, Tim Landgraf	Attribution, Informational Bottleneck, Interpretable Machine Learning, Explainable AI
39	Building Deep Equivariant Capsule Networks	https://openreview.net/forum?id=BJgNJgSFPS	Sai Raam Venkataraman, S. Balasubramanian, R. Raghunatha Sarma	Capsule networks, equivariance
40	A Generalized Training Approach for Multiagent Learning	https://openreview.net/forum?id=Bkl5kxrKDr	Paul Muller, Shayegan Omidshafiei, Mark Rowland, Karl Tuyls, Julien Perolat, Siqi Liu, Daniel Hennes, Luke Marris, Marc Lanctot, Edward Hughes, Zhe Wang, Guy Lever, Nicolas Heess, Thore Graepel, Remi Munos	multiagent learning, game theory, training, games
41	High Fidelity Speech Synthesis with Adversarial Networks	https://openreview.net/forum?id=r1gfQgSFDr	Mikołaj Bińkowski, Jeff Donahue, Sander Dieleman, Aidan Clark, Erich Elsen, Norman Casagrande, Luis C. Cobo, Karen Simonyan	texttospeech, speechsynthesis, audiosynthesis, gans, generativeadversarialnetworks, implicitgenerativemodels
42	SEED RL: Scalable and Efficient Deep-RL with Accelerated Central Inference	https://openreview.net/forum?id=rkgvXlrKwH	Lasse Espeholt, Raphaël Marinier, Piotr Stanczyk, Ke Wang, Marcin Michalski	machine learning, reinforcement learning, scalability, distributed, DeepMind Lab, ALE, Atari-57, Google Research Football
43	Meta-Learning with Warped Gradient Descent	https://openreview.net/forum?id=rkeiQlBFPB	Sebastian Flennerhag, Andrei A. Rusu, Razvan Pascanu, Francesco Visin, Hujun Yin, Raia Hadsell	meta-learning, transfer learning
44	Convolutional Conditional Neural Processes	https://openreview.net/forum?id=Skey4eBYPS	Jonathan Gordon, Wessel P. Bruinsma, Andrew Y. K. Foong, James Requeima, Yann Dubois, Richard E. Turner	Neural Processes, Deep Sets, Translation Equivariance
45	Gradient Descent Maximizes the Margin of Homogeneous Neural Networks	https://openreview.net/forum?id=SJeLIgBKPS	Kaifeng Lyu, Jian Li	margin, homogeneous, gradient descent
46	Adversarial Training and Provable Defenses: Bridging the Gap	https://openreview.net/forum?id=SJxSDxrKDr	Mislav Balunovic, Martin Vechev	adversarial examples, adversarial training, provable defense, convex relaxations, deep learning
47	Differentiable Reasoning over a Virtual Knowledge Base	https://openreview.net/forum?id=SJxstlHFPH	Bhuwan Dhingra, Manzil Zaheer, Vidhisha Balachandran, Graham Neubig, Ruslan Salakhutdinov, William W. Cohen	Question Answering, Multi-Hop QA, Deep Learning, Knowledge Bases, Information Extraction, Data Structures for QA
48	Federated Learning with Matched Averaging	https://openreview.net/forum?id=BkluqlSFDS	Hongyi Wang, Mikhail Yurochkin, Yuekai Sun, Dimitris Papailiopoulos, Yasaman Khazaeni	federated learning
49	Continual learning with hypernetworks	https://openreview.net/forum?id=SJgwNerKvB	Johannes von Oswald, Christian Henning, João Sacramento, Benjamin F. Grewe	Continual Learning, Catastrophic Forgetting, Meta Model, Hypernetwork
50	Program Guided Agent	https://openreview.net/forum?id=BkxUvnEYDH	Shao-Hua Sun, Te-Lin Wu, Joseph J. Lim	Program Execution, Program Executor, Program Understanding, Program Guided Agent, Learning to Execute, Deep Learning
51	Sparse Coding with Gated Learned ISTA	https://openreview.net/forum?id=BygPO2VKPH	Kailun Wu, Yiwen Guo, Ziang Li, Changshui Zhang	Sparse coding, deep learning, learned ISTA, convergence analysis
52	Graph Neural Networks Exponentially Lose Expressive Power for Node Classification	https://openreview.net/forum?id=S1ldO2EFPr	Kenta Oono, Taiji Suzuki	Graph Neural Network, Deep Learning, Expressive Power
53	Multi-Scale Representation Learning for Spatial Feature Distributions using Grid Cells	https://openreview.net/forum?id=rJljdh4KDH	Gengchen Mai, Krzysztof Janowicz, Bo Yan, Rui Zhu, Ling Cai, Ni Lao	Grid cell, space encoding, spatially explicit model, multi-scale periodic representation, unsupervised learning
54	InfoGraph: Unsupervised and Semi-supervised Graph-Level Representation Learning via Mutual Information Maximization	https://openreview.net/forum?id=r1lfF2NYvH	Fan-Yun Sun, Jordan Hoffman, Vikas Verma, Jian Tang	graph-level representation learning, mutual information maximization
55	On Robustness of Neural Ordinary Differential Equations	https://openreview.net/forum?id=B1e9Y2NYvS	Hanshu YAN, Jiawei DU, Vincent TAN, Jiashi FENG	Neural ODE
56	Defending Against Physically Realizable Attacks on Image Classification	https://openreview.net/forum?id=H1xscnEKDr	Tong Wu, Liang Tong, Yevgeniy Vorobeychik	defense against physical attacks, adversarial machine learning
