No.	Title	Link	Authors	Keywords
1	The Undergraduate Games Corpus: A Dataset for Machine Perception of Interactive Media	https://ojs.aaai.org/index.php/AAAI/article/view/16071	Barrett R. Anderson, Adam M. Smith	
2	Efficient Poverty Mapping from High Resolution Remote Sensing Images	https://ojs.aaai.org/index.php/AAAI/article/view/16072	Kumar Ayush, Burak Uzkent, Kumar Tanmay, Marshall Burke, David Lobell, Stefano Ermon	
3	Optimal Kidney Exchange with Immunosuppressants	https://ojs.aaai.org/index.php/AAAI/article/view/16073	Haris Aziz, Ágnes Cseh, John P. Dickerson, Duncan C. McElfresh	
4	TreeCaps: Tree-Based Capsule Networks for Source Code Processing	https://ojs.aaai.org/index.php/AAAI/article/view/16074	Nghi D. Q. Bui, Yijun Yu, Lingxiao Jiang	
5	A Bottom-Up DAG Structure Extraction Model for Math Word Problems	https://ojs.aaai.org/index.php/AAAI/article/view/16075	Yixuan Cao, Feng Hong, Hongwei Li, Ping Luo	
6	Diagnose Like A Pathologist: Weakly-Supervised Pathologist-Tree Network for Slide-Level Immunohistochemical Scoring	https://ojs.aaai.org/index.php/AAAI/article/view/16076	Zhen Chen, Jun Zhang, Shuanlong Che, Junzhou Huang, Xiao Han, Yixuan Yuan	
7	Modeling the Momentum Spillover Effect for Stock Prediction via Attribute-Driven Graph Attention Networks	https://ojs.aaai.org/index.php/AAAI/article/view/16077	Rui Cheng, Qing Li	
8	Differentially Private Link Prediction with Protected Connections	https://ojs.aaai.org/index.php/AAAI/article/view/16078	Abir De, Soumen Chakrabarti	
9	Graph Neural Network to Dilute Outliers for Refactoring Monolith Application	https://ojs.aaai.org/index.php/AAAI/article/view/16079	Utkarsh Desai, Sambaran Bandyopadhyay, Srikanth Tamilselvam	
10	KAN: Knowledge-aware Attention Network for Fake News Detection	https://ojs.aaai.org/index.php/AAAI/article/view/16080	Yaqian Dun, Kefei Tu, Chen Chen, Chunyan Hou, Xiaojie Yuan	
11	When Hashing Met Matching: Efficient Spatio-Temporal Search for Ridesharing	https://ojs.aaai.org/index.php/AAAI/article/view/16081	Chinmoy Dutta	
12	Gene Regulatory Network Inference using 3D Convolutional Neural Network	https://ojs.aaai.org/index.php/AAAI/article/view/16082	Yue Fan, Xiuli Ma	
13	Universal Trading for Order Execution with Oracle Policy Distillation	https://ojs.aaai.org/index.php/AAAI/article/view/16083	Yuchen Fang, Kan Ren, Weiqing Liu, Dong Zhou, Weinan Zhang, Jiang Bian, Yong Yu, Tie-Yan Liu	
14	Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction	https://ojs.aaai.org/index.php/AAAI/article/view/16084	Chun-Mei Feng, Zhanyuan Yang, Geng Chen, Yong Xu, Ling Shao	
15	MIMOSA: Multi-constraint Molecule Sampling for Molecule Optimization	https://ojs.aaai.org/index.php/AAAI/article/view/16085	Tianfan Fu, Cao Xiao, Xinhao Li, Lucas M. Glass, Jimeng Sun	
16	ECG ODE-GAN: Learning Ordinary Differential Equations of ECG Dynamics via Generative Adversarial Learning	https://ojs.aaai.org/index.php/AAAI/article/view/16086	Tomer Golany, Daniel Freedman, Kira Radinsky	
