No.	Title	Link	Authors	Keywords
22	NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences	https://openaccess.thecvf.com/content_CVPR_2019/html/Zhao_NM-Net_Mining_Reliable_Neighbors_for_Robust_Feature_Correspondences_CVPR_2019_paper.html	Chen Zhao, Zhiguo Cao, Chi Li, Xin Li, Jiaqi Yang	
23	Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry	https://openaccess.thecvf.com/content_CVPR_2019/html/Trager_Coordinate-Free_Carlsson-Weinshall_Duality_and_Relative_Multi-View_Geometry_CVPR_2019_paper.html	Matthew Trager, Martial Hebert, Jean Ponce	
24	Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image	https://openaccess.thecvf.com/content_CVPR_2019/html/Han_Deep_Reinforcement_Learning_of_Volume-Guided_Progressive_View_Inpainting_for_3D_CVPR_2019_paper.html	Xiaoguang Han, Zhaoxuan Zhang, Dong Du, Mingdai Yang, Jingming Yu, Pan Pan, Xin Yang, Ligang Liu, Zixiang Xiong, Shuguang Cui	
25	Video Action Transformer Network	https://openaccess.thecvf.com/content_CVPR_2019/html/Girdhar_Video_Action_Transformer_Network_CVPR_2019_paper.html	Rohit Girdhar, Joao Carreira, Carl Doersch, Andrew Zisserman	
26	Timeception for Complex Action Recognition	https://openaccess.thecvf.com/content_CVPR_2019/html/Hussein_Timeception_for_Complex_Action_Recognition_CVPR_2019_paper.html	Noureldien Hussein, Efstratios Gavves, Arnold W.M. Smeulders	
27	STEP: Spatio-Temporal Progressive Learning for Video Action Detection	https://openaccess.thecvf.com/content_CVPR_2019/html/Yang_STEP_Spatio-Temporal_Progressive_Learning_for_Video_Action_Detection_CVPR_2019_paper.html	Xitong Yang, Xiaodong Yang, Ming-Yu Liu, Fanyi Xiao, Larry S. Davis, Jan Kautz	
28	Relational Action Forecasting	https://openaccess.thecvf.com/content_CVPR_2019/html/Sun_Relational_Action_Forecasting_CVPR_2019_paper.html	Chen Sun, Abhinav Shrivastava, Carl Vondrick, Rahul Sukthankar, Kevin Murphy, Cordelia Schmid	
29	Long-Term Feature Banks for Detailed Video Understanding	https://openaccess.thecvf.com/content_CVPR_2019/html/Wu_Long-Term_Feature_Banks_for_Detailed_Video_Understanding_CVPR_2019_paper.html	Chao-Yuan Wu, Christoph Feichtenhofer, Haoqi Fan, Kaiming He, Philipp Krahenbuhl, Ross Girshick	
30	Which Way Are You Going? Imitative Decision Learning for Path Forecasting in Dynamic Scenes	https://openaccess.thecvf.com/content_CVPR_2019/html/Li_Which_Way_Are_You_Going_Imitative_Decision_Learning_for_Path_CVPR_2019_paper.html	Yuke Li	
31	What and How Well You Performed? A Multitask Learning Approach to Action Quality Assessment	https://openaccess.thecvf.com/content_CVPR_2019/html/Parmar_What_and_How_Well_You_Performed_A_Multitask_Learning_Approach_CVPR_2019_paper.html	Paritosh Parmar, Brendan Tran Morris	
32	MHP-VOS: Multiple Hypotheses Propagation for Video Object Segmentation	https://openaccess.thecvf.com/content_CVPR_2019/html/Xu_MHP-VOS_Multiple_Hypotheses_Propagation_for_Video_Object_Segmentation_CVPR_2019_paper.html	Shuangjie Xu, Daizong Liu, Linchao Bao, Wei Liu, Pan Zhou	
33	2.5D Visual Sound	https://openaccess.thecvf.com/content_CVPR_2019/html/Gao_2.5D_Visual_Sound_CVPR_2019_paper.html	Ruohan Gao, Kristen Grauman	
34	Language-Driven Temporal Activity Localization: A Semantic Matching Reinforcement Learning Model	https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Language-Driven_Temporal_Activity_Localization_A_Semantic_Matching_Reinforcement_Learning_Model_CVPR_2019_paper.html	Weining Wang, Yan Huang, Liang Wang	
35	Gaussian Temporal Awareness Networks for Action Localization	https://openaccess.thecvf.com/content_CVPR_2019/html/Long_Gaussian_Temporal_Awareness_Networks_for_Action_Localization_CVPR_2019_paper.html	Fuchen Long, Ting Yao, Zhaofan Qiu, Xinmei Tian, Jiebo Luo, Tao Mei	
36	Efficient Video Classification Using Fewer Frames	https://openaccess.thecvf.com/content_CVPR_2019/html/Bhardwaj_Efficient_Video_Classification_Using_Fewer_Frames_CVPR_2019_paper.html	Shweta Bhardwaj, Mukundhan Srinivasan, Mitesh M. Khapra	
37	Parsing R-CNN for Instance-Level Human Analysis	https://openaccess.thecvf.com/content_CVPR_2019/html/Yang_Parsing_R-CNN_for_Instance-Level_Human_Analysis_CVPR_2019_paper.html	Lu Yang, Qing Song, Zhihui Wang, Ming Jiang	
38	Large Scale Incremental Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Wu_Large_Scale_Incremental_Learning_CVPR_2019_paper.html	Yue Wu, Yinpeng Chen, Lijuan Wang, Yuancheng Ye, Zicheng Liu, Yandong Guo, Yun Fu	
39	TopNet: Structural Point Cloud Decoder	https://openaccess.thecvf.com/content_CVPR_2019/html/Tchapmi_TopNet_Structural_Point_Cloud_Decoder_CVPR_2019_paper.html	Lyne P. Tchapmi, Vineet Kosaraju, Hamid Rezatofighi, Ian Reid, Silvio Savarese	
40	Perceive Where to Focus: Learning Visibility-Aware Part-Level Features for Partial Person Re-Identification	https://openaccess.thecvf.com/content_CVPR_2019/html/Sun_Perceive_Where_to_Focus_Learning_Visibility-Aware_Part-Level_Features_for_Partial_CVPR_2019_paper.html	Yifan Sun, Qin Xu, Yali Li, Chi Zhang, Yikang Li, Shengjin Wang, Jian Sun	
41	Meta-Transfer Learning for Few-Shot Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Sun_Meta-Transfer_Learning_for_Few-Shot_Learning_CVPR_2019_paper.html	Qianru Sun, Yaoyao Liu, Tat-Seng Chua, Bernt Schiele	
42	Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation	https://openaccess.thecvf.com/content_CVPR_2019/html/Zhuang_Structured_Binary_Neural_Networks_for_Accurate_Image_Classification_and_Semantic_CVPR_2019_paper.html	Bohan Zhuang, Chunhua Shen, Mingkui Tan, Lingqiao Liu, Ian Reid	
43	Deep RNN Framework for Visual Sequential Applications	https://openaccess.thecvf.com/content_CVPR_2019/html/Pang_Deep_RNN_Framework_for_Visual_Sequential_Applications_CVPR_2019_paper.html	Bo Pang, Kaiwen Zha, Hanwen Cao, Chen Shi, Cewu Lu	
44	Graph-Based Global Reasoning Networks	https://openaccess.thecvf.com/content_CVPR_2019/html/Chen_Graph-Based_Global_Reasoning_Networks_CVPR_2019_paper.html	Yunpeng Chen, Marcus Rohrbach, Zhicheng Yan, Yan Shuicheng, Jiashi Feng, Yannis Kalantidis	
45	SSN: Learning Sparse Switchable Normalization via SparsestMax	https://openaccess.thecvf.com/content_CVPR_2019/html/Shao_SSN_Learning_Sparse_Switchable_Normalization_via_SparsestMax_CVPR_2019_paper.html	Wenqi Shao, Tianjian Meng, Jingyu Li, Ruimao Zhang, Yudian Li, Xiaogang Wang, Ping Luo	
46	Spherical Fractal Convolutional Neural Networks for Point Cloud Recognition	https://openaccess.thecvf.com/content_CVPR_2019/html/Rao_Spherical_Fractal_Convolutional_Neural_Networks_for_Point_Cloud_Recognition_CVPR_2019_paper.html	Yongming Rao, Jiwen Lu, Jie Zhou	
47	Learning to Generate Synthetic Data via Compositing	https://openaccess.thecvf.com/content_CVPR_2019/html/Tripathi_Learning_to_Generate_Synthetic_Data_via_Compositing_CVPR_2019_paper.html	Shashank Tripathi, Siddhartha Chandra, Amit Agrawal, Ambrish Tyagi, James M. Rehg, Visesh Chari	
48	Divide and Conquer the Embedding Space for Metric Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Sanakoyeu_Divide_and_Conquer_the_Embedding_Space_for_Metric_Learning_CVPR_2019_paper.html	Artsiom Sanakoyeu, Vadim Tschernezki, Uta Buchler, Bjorn Ommer	
49	Latent Space Autoregression for Novelty Detection	https://openaccess.thecvf.com/content_CVPR_2019/html/Abati_Latent_Space_Autoregression_for_Novelty_Detection_CVPR_2019_paper.html	Davide Abati, Angelo Porrello, Simone Calderara, Rita Cucchiara	
50	Attending to Discriminative Certainty for Domain Adaptation	https://openaccess.thecvf.com/content_CVPR_2019/html/Kurmi_Attending_to_Discriminative_Certainty_for_Domain_Adaptation_CVPR_2019_paper.html	Vinod Kumar Kurmi, Shanu Kumar, Vinay P. Namboodiri	
51	Feature Denoising for Improving Adversarial Robustness	https://openaccess.thecvf.com/content_CVPR_2019/html/Xie_Feature_Denoising_for_Improving_Adversarial_Robustness_CVPR_2019_paper.html	Cihang Xie, Yuxin Wu, Laurens van der Maaten, Alan L. Yuille, Kaiming He	
52	Selective Kernel Networks	https://openaccess.thecvf.com/content_CVPR_2019/html/Li_Selective_Kernel_Networks_CVPR_2019_paper.html	Xiang Li, Wenhai Wang, Xiaolin Hu, Jian Yang	
