No.	Title	Link	Authors	Keywords
1	MultiSumm: Towards a Unified Model for Multi-Lingual Abstractive Summarization	https://aaai.org/ojs/index.php/AAAI/article/view/5328	Yue Cao, Xiaojun Wan, Jinge Yao, Dian Yu	
2	Efficient Heterogeneous Collaborative Filtering without Negative Sampling for Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5329	Chong Chen, Min Zhang, Yongfeng Zhang, Weizhi Ma, Yiqun Liu, Shaoping Ma	
3	Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach	https://aaai.org/ojs/index.php/AAAI/article/view/5330	Lei Chen, Le Wu, Richang Hong, Kun Zhang, Meng Wang	
4	Question-Driven Purchasing Propensity Analysis for Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5331	Long Chen, Ziyu Guan, Qibin Xu, Qiong Zhang, Huan Sun, Guangyue Lu, Deng Cai	
5	Gradient Method for Continuous Influence Maximization with Budget-Saving Considerations	https://aaai.org/ojs/index.php/AAAI/article/view/5332	Wei Chen, Weizhong Zhang, Haoyu Zhao	
6	Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search	https://aaai.org/ojs/index.php/AAAI/article/view/5333	Xinyan Dai, Xiao Yan, Kelvin K. W. Ng, Jiu Liu, James Cheng	
7	Modeling Fluency and Faithfulness for Diverse Neural Machine Translation	https://aaai.org/ojs/index.php/AAAI/article/view/5334	Yang Feng, Wanying Xie, Shuhao Gu, Chenze Shao, Wen Zhang, Zhengxin Yang, Dong Yu	
8	Leveraging Title-Abstract Attentive Semantics for Paper Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5335	Guibing Guo, Bowei Chen, Xiaoyan Zhang, Zhirong Liu, Zhenhua Dong, Xiuqiang He	
9	Preserving Ordinal Consensus: Towards Feature Selection for Unlabeled Data	https://aaai.org/ojs/index.php/AAAI/article/view/5336	Jun Guo, Heng Chang, Wenwu Zhu	
10	An Attentional Recurrent Neural Network for Personalized Next Location Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5337	Qing Guo, Zhu Sun, Jie Zhang, Yin-Leng Theng	
11	Re-Attention for Visual Question Answering	https://aaai.org/ojs/index.php/AAAI/article/view/5338	Wenya Guo, Ying Zhang, Xiaoping Wu, Jufeng Yang, Xiangrui Cai, Xiaojie Yuan	
12	Semi-Supervised Multi-Modal Learning with Balanced Spectral Decomposition	https://aaai.org/ojs/index.php/AAAI/article/view/5339	Peng Hu, Hongyuan Zhu, Xi Peng, Jie Lin	
13	MuMod: A Micro-Unit Connection Approach for Hybrid-Order Community Detection	https://aaai.org/ojs/index.php/AAAI/article/view/5340	Ling Huang, Hong-Yang Chao, Quangqiang Xie	
14	Cross-Lingual Pre-Training Based Transfer for Zero-Shot Neural Machine Translation	https://aaai.org/ojs/index.php/AAAI/article/view/5341	Baijun Ji, Zhirui Zhang, Xiangyu Duan, Min Zhang, Boxing Chen, Weihua Luo	
15	Functionality Discovery and Prediction of Physical Objects	https://aaai.org/ojs/index.php/AAAI/article/view/5342	Lei Ji, Botian Shi, Xianglin Guo, Xilin Chen	
16	True Nonlinear Dynamics from Incomplete Networks	https://aaai.org/ojs/index.php/AAAI/article/view/5343	Chunheng Jiang, Jianxi Gao, Malik Magdon-Ismail	
17	Understanding and Improving Proximity Graph Based Maximum Inner Product Search	https://aaai.org/ojs/index.php/AAAI/article/view/5344	Jie Liu, Xiao Yan, Xinyan Dai, Zhirong Li, James Cheng, Ming-Chang Yang	
18	Type-Aware Anchor Link Prediction across Heterogeneous Networks Based on Graph Attention Network	https://aaai.org/ojs/index.php/AAAI/article/view/5345	Xiaoxue Li, Yanmin Shang, Yanan Cao, Yangxi Li, Jianlong Tan, Yanbing Liu	
19	Deep Match to Rank Model for Personalized Click-Through Rate Prediction	https://aaai.org/ojs/index.php/AAAI/article/view/5346	Ze Lyu, Yu Dong, Chengfu Huo, Weijun Ren	
20	Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion	https://aaai.org/ojs/index.php/AAAI/article/view/5347	Sijie Mai, Haifeng Hu, Songlong Xing	
21	A Variational Point Process Model for Social Event Sequences	https://aaai.org/ojs/index.php/AAAI/article/view/5348	Zhen Pan, Zhenya Huang, Defu Lian, Enhong Chen	
22	Incremental Fairness in Two-Sided Market Platforms: On Smoothly Updating Recommendations	https://aaai.org/ojs/index.php/AAAI/article/view/5349	Gourab K. Patro, Abhijnan Chakraborty, Niloy Ganguly, Krishna Gummadi	
23	Towards Comprehensive Recommender Systems: Time-Aware Unified Recommendations Based on Listwise Ranking of Implicit Cross-Network Data	https://aaai.org/ojs/index.php/AAAI/article/view/5350	Dilruk Perera, Roger Zimmermann	
24	Minimizing the Bag-of-Ngrams Difference for Non-Autoregressive Neural Machine Translation	https://aaai.org/ojs/index.php/AAAI/article/view/5351	Chenze Shao, Jinchao Zhang, Yang Feng, Fandong Meng, Jie Zhou	
25	PEIA: Personality and Emotion Integrated Attentive Model for Music Recommendation on Social Media Platforms	https://aaai.org/ojs/index.php/AAAI/article/view/5352	Tiancheng Shen, Jia Jia, Yan Li, Yihui Ma, Yaohua Bu, Hanjie Wang, Bo Chen, Tat-Seng Chua, Wendy Hall	
26	Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5353	Ke Sun, Tieyun Qian, Tong Chen, Yile Liang, Quoc Viet Hung Nguyen, Hongzhi Yin	
27	Knowledge Graph Alignment Network with Gated Multi-Hop Neighborhood Aggregation	https://aaai.org/ojs/index.php/AAAI/article/view/5354	Zequn Sun, Chengming Wang, Wei Hu, Muhao Chen, Jian Dai, Wei Zhang, Yuzhong Qu	
28	Learning with Unsure Responses	https://aaai.org/ojs/index.php/AAAI/article/view/5355	Kunihiro Takeoka, Yuyang Dong, Masafumi Oyamada	
29	Author Name Disambiguation on Heterogeneous Information Network with Adversarial Representation Learning	https://aaai.org/ojs/index.php/AAAI/article/view/5356	Haiwen Wang, Ruijie Wan, Chuan Wen, Shuhao Li, Yuting Jia, Weinan Zhang, Xinbing Wang	
30	Social Influence Does Matter: User Action Prediction for In-Feed Advertising	https://aaai.org/ojs/index.php/AAAI/article/view/5357	Hongyang Wang, Qingfei Meng, Ju Fan, Yuchen Li, Laizhong Cui, Xiaoman Zhao, Chong Peng, Gong Chen, Xiaoyong Du	
31	Mining Unfollow Behavior in Large-Scale Online Social Networks via Spatial-Temporal Interaction	https://aaai.org/ojs/index.php/AAAI/article/view/5358	Haozhe Wu, Zhiyuan Hu, Jia Jia, Yaohua Bu, Xiangnan He, Tat-Seng Chua	
32	Who Likes What? -- SplitLBI in Exploring Preferential Diversity of Ratings	https://aaai.org/ojs/index.php/AAAI/article/view/5359	Qianqian Xu, Jiechao Xiong, Zhiyong Yang, Xiaochun Cao, Qingming Huang, Yuan Yao	
33	Multi-Feature Discrete Collaborative Filtering for Fast Cold-Start Recommendation	https://aaai.org/ojs/index.php/AAAI/article/view/5360	Yang Xu, Lei Zhu, Zhiyong Cheng, Jingjing Li, Jiande Sun	
34	Cross-Modal Attention Network for Temporal Inconsistent Audio-Visual Event Localization	https://aaai.org/ojs/index.php/AAAI/article/view/5361	Hanyu Xuan, Zhenyu Zhang, Shuo Chen, Jian Yang, Yan Yan	
35	Learning to Match on Graph for Fashion Compatibility Modeling	https://aaai.org/ojs/index.php/AAAI/article/view/5362	Xun Yang, Xiaoyu Du, Meng Wang	
36	D2D-LSTM: LSTM-Based Path Prediction of Content Diffusion Tree in Device-to-Device Social Networks	https://aaai.org/ojs/index.php/AAAI/article/view/5363	Heng Zhang, Xiaofei Wang, Jiawen Chen, Chenyang Wang, Jianxin Li	
37	An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos	https://aaai.org/ojs/index.php/AAAI/article/view/5364	Sicheng Zhao, Yunsheng Ma, Yang Gu, Jufeng Yang, Tengfei Xing, Pengfei Xu, Runbo Hu, Hua Chai, Kurt Keutzer	
38	Multi-Channel Reverse Dictionary Model	https://aaai.org/ojs/index.php/AAAI/article/view/5365	Lei Zheng, Fanchao Qi, Zhiyuan Liu, Yasheng Wang, Qun Liu, Maosong Sun	
39	Table2Analysis: Modeling and Recommendation of Common Analysis Patterns for Multi-Dimensional Data	https://aaai.org/ojs/index.php/AAAI/article/view/5366	Mengyu Zhou, Wang Tao, Ji Pengxin, Han Shi, Zhang Dongmei	
40	A Recurrent Model for Collective Entity Linking with Adaptive Features	https://aaai.org/ojs/index.php/AAAI/article/view/5367	Xiaoling Zhou, Yukai Miao, Wei Wang, Jianbin Qin	
41	FairyTED: A Fair Rating Predictor for TED Talk Data	https://aaai.org/ojs/index.php/AAAI/article/view/5368	Rupam Acharyya, Shouman Das, Ankani Chattoraj, Md. Iftekhar Tanveer	
42	Crisis-DIAS: Towards Multimodal Damage Analysis - Deployment, Challenges and Assessment	https://aaai.org/ojs/index.php/AAAI/article/view/5369	Mansi Agarwal, Maitree Leekha, Ramit Sawhney, Rajiv Ratn Shah	
43	Unsupervised Detection of Sub-Events in Large Scale Disasters	https://aaai.org/ojs/index.php/AAAI/article/view/5370	Chidubem Arachie, Manas Gaur, Sam Anzaroot, William Groves, Ke Zhang, Alejandro Jaimes	
44	Spatio-Temporal Attention-Based Neural Network for Credit Card Fraud Detection	https://aaai.org/ojs/index.php/AAAI/article/view/5371	Dawei Cheng, Sheng Xiang, Chencheng Shang, Yiyi Zhang, Fangzhou Yang, Liqing Zhang	
45	Tracking Disaster Footprints with Social Streaming Data	https://aaai.org/ojs/index.php/AAAI/article/view/5372	Lu Cheng, Jundong Li, K. Selcuk Candan, Huan Liu	
46	Detecting and Tracking Communal Bird Roosts in Weather Radar Data	https://aaai.org/ojs/index.php/AAAI/article/view/5373	Zezhou Cheng, Saadia Gabriel, Pankaj Bhambhani, Daniel Sheldon, Subhransu Maji, Andrew Laughlin, David Winkler	
47	Hindi-English Hate Speech Detection: Author Profiling, Debiasing, and Practical Perspectives	https://aaai.org/ojs/index.php/AAAI/article/view/5374	Shivang Chopra, Ramit Sawhney, Puneet Mathur, Rajiv Ratn Shah	
48	Inferring Nighttime Satellite Imagery from Human Mobility	https://aaai.org/ojs/index.php/AAAI/article/view/5375	Brian Dickinson, Gourab Ghoshal, Xerxes Dotiwalla, Adam Sadilek, Henry Kautz	
49	A Distributed Multi-Sensor Machine Learning Approach to Earthquake Early Warning	https://aaai.org/ojs/index.php/AAAI/article/view/5376	Kevin Fauvel, Daniel Balouek-Thomert, Diego Melgar, Pedro Silva, Anthony Simonet, Gabriel Antoniu, Alexandru Costan, Véronique Masson, Manish Parashar, Ivan Rodero, Alexandre Termier	
50	Faking Fairness via Stealthily Biased Sampling	https://aaai.org/ojs/index.php/AAAI/article/view/5377	Kazuto Fukuchi, Satoshi Hara, Takanori Maehara	
51	Discriminating Cognitive Disequilibrium and Flow in Problem Solving: A Semi-Supervised Approach Using Involuntary Dynamic Behavioral Signals	https://aaai.org/ojs/index.php/AAAI/article/view/5378	Mononito Goswami, Lujie Chen, Artur Dubrawski	
52	Lightweight and Robust Representation of Economic Scales from Satellite Imagery	https://aaai.org/ojs/index.php/AAAI/article/view/5379	Sungwon Han, Donghyun Ahn, Hyunji Cha, Jeasurk Yang, Sungwon Park, Meeyoung Cha	
53	The Unreasonable Effectiveness of Inverse Reinforcement Learning in Advancing Cancer Research	https://aaai.org/ojs/index.php/AAAI/article/view/5380	John Kalantari, Heidi Nelson, Nicholas Chia	
54	Linguistic Fingerprints of Internet Censorship: The Case of Sina Weibo	https://aaai.org/ojs/index.php/AAAI/article/view/5381	Kei Yin Ng, Anna Feldman, Jing Peng	
55	Voice for the Voiceless: Active Sampling to Detect Comments Supporting the Rohingyas	https://aaai.org/ojs/index.php/AAAI/article/view/5382	Shriphani Palakodety, Ashiqur R. KhudaBukhsh, Jaime G. Carbonell, Shriphani Palakodety, Ashiqur R. KhudaBukhsh, Jaime G. Carbonell	
56	Guided Weak Supervision for Action Recognition with Scarce Data to Assess Skills of Children with Autism	https://aaai.org/ojs/index.php/AAAI/article/view/5383	Prashant Pandey, Prathosh AP, Manu Kohli, Josh Pritchard	
57	The Stanford Acuity Test: A Precise Vision Test Using Bayesian Techniques and a Discovery in Human Visual Response	https://aaai.org/ojs/index.php/AAAI/article/view/5384	Chris Piech, Ali Malik, Laura M. Scott, Robert T. Chang, Charles Lin	
58	Automatically Neutralizing Subjective Bias in Text	https://aaai.org/ojs/index.php/AAAI/article/view/5385	Reid Pryzant, Richard Diehl Martinez, Nathan Dass, Sadao Kurohashi, Dan Jurafsky, Diyi Yang	
59	Capturing the Style of Fake News	https://aaai.org/ojs/index.php/AAAI/article/view/5386	Piotr Przybyla	
60	On Identifying Hashtags in Disaster Twitter Data	https://aaai.org/ojs/index.php/AAAI/article/view/5387	Jishnu Ray Chowdhury, Cornelia Caragea, Doina Caragea	
61	Neural Approximate Dynamic Programming for On-Demand Ride-Pooling	https://aaai.org/ojs/index.php/AAAI/article/view/5388	Sanket Shah, Meghna Lowalekar, Pradeep Varakantham	
62	Weak Supervision for Fake News Detection via Reinforcement Learning	https://aaai.org/ojs/index.php/AAAI/article/view/5389	Yaqing Wang, Weifeng Yang, Fenglong Ma, Jin Xu, Bin Zhong, Qiang Deng, Jing Gao	
63	Protecting Geolocation Privacy of Photo Collections	https://aaai.org/ojs/index.php/AAAI/article/view/5390	Jinghan Yang, Ayan Chakrabarti, Yevgeniy Vorobeychik	
64	Weakly-Supervised Fine-Grained Event Recognition on Social Media Texts for Disaster Management	https://aaai.org/ojs/index.php/AAAI/article/view/5391	Wenlin Yao, Cheng Zhang, Shiva Saravanan, Ruihong Huang, Ali Mostafavi	
65	Interactive Learning with Proactive Cognition Enhancement for Crowd Workers	https://aaai.org/ojs/index.php/AAAI/article/view/5392	Jing Zhang, Huihui Wang, Shunmei Meng, Victor S. Sheng	
66	Rumor Detection on Social Media with Bi-Directional Graph Convolutional Networks	https://aaai.org/ojs/index.php/AAAI/article/view/5393	Tian Bian, Xi Xiao, Tingyang Xu, Peilin Zhao, Wenbing Huang, Yu Rong, Junzhou Huang	
67	Doctor2Vec: Dynamic Doctor Representation Learning for Clinical Trial Recruitment	https://aaai.org/ojs/index.php/AAAI/article/view/5394	Siddharth Biswal, Cao Xiao, Lucas M. Glass, Elizabeth Milkovits, Jimeng Sun	
68	TrueLearn: A Family of Bayesian Algorithms to Match Lifelong Learners to Open Educational Resources	https://aaai.org/ojs/index.php/AAAI/article/view/5395	Sahan Bulathwela, Maria Perez-Ortiz, Emine Yilmaz, John Shawe-Taylor	
69	Real-Time Route Search by Locations	https://aaai.org/ojs/index.php/AAAI/article/view/5396	Lisi Chen, Shuo Shang, Tao Guo	
70	Pay Your Trip for Traffic Congestion: Dynamic Pricing in Traffic-Aware Road Networks	https://aaai.org/ojs/index.php/AAAI/article/view/5397	Lisi Chen, Shuo Shang, Bin Yao, Jing Li	
71	Adaptive Greedy versus Non-Adaptive Greedy for Influence Maximization	https://aaai.org/ojs/index.php/AAAI/article/view/5398	Wei Chen, Binghui Peng, Grant Schoenebeck, Biaoshuai Tao	
72	DeepVar: An End-to-End Deep Learning Approach for Genomic Variant Recognition in Biomedical Literature	https://aaai.org/ojs/index.php/AAAI/article/view/5399	Chaoran Cheng, Fei Tan, Zhi Wei	
73	Learning the Graphical Structure of Electronic Health Records with Graph Convolutional Transformer	https://aaai.org/ojs/index.php/AAAI/article/view/5400	Edward Choi, Zhen Xu, Yujia Li, Michael Dusenberry, Gerardo Flores, Emily Xue, Andrew Dai	
74	CONAN: Complementary Pattern Augmentation for Rare Disease Detection	https://aaai.org/ojs/index.php/AAAI/article/view/5401	Limeng Cui, Siddharth Biswal, Lucas M. Glass, Greg Lever, Jimeng Sun, Cao Xiao	
75	Differentially Private and Fair Classification via Calibrated Functional Mechanism	https://aaai.org/ojs/index.php/AAAI/article/view/5402	Jiahao Ding, Xinyue Zhang, Xiaohuan Li, Junyi Wang, Rong Yu, Miao Pan	
76	Predicting AC Optimal Power Flows: Combining Deep Learning and Lagrangian Dual Methods	https://aaai.org/ojs/index.php/AAAI/article/view/5403	Ferdinando Fioretto, Terrence W.K. Mak, Pascal Van Hentenryck	
77	CORE: Automatic Molecule Optimization Using Copy & Refine Strategy	https://aaai.org/ojs/index.php/AAAI/article/view/5404	Tianfan Fu, Cao Xiao, Jimeng Sun	
78	GAN-Based Unpaired Chinese Character Image Translation via Skeleton Transformation and Stroke Rendering	https://aaai.org/ojs/index.php/AAAI/article/view/5405	Yiming Gao, Jiangqin Wu	
79	Predictive Student Modeling in Educational Games with Multi-Task Learning	https://aaai.org/ojs/index.php/AAAI/article/view/5406	Michael Geden, Andrew Emerson, Jonathan Rowe, Roger Azevedo, James Lester	
