No.	Title	Link	Authors	Keywords
1	Dual Super-Resolution Learning for Semantic Segmentation	https://openaccess.thecvf.com/content_CVPR_2020/html/Wang_Dual_Super-Resolution_Learning_for_Semantic_Segmentation_CVPR_2020_paper.html	Li Wang, Dong Li, Yousong Zhu, Lu Tian, Yi Shan	
2	Deep Unfolding Network for Image Super-Resolution	https://openaccess.thecvf.com/content_CVPR_2020/html/Zhang_Deep_Unfolding_Network_for_Image_Super-Resolution_CVPR_2020_paper.html	Kai Zhang, Luc Van Gool, Radu Timofte	
3	Unsupervised Learning for Intrinsic Image Decomposition From a Single Image	https://openaccess.thecvf.com/content_CVPR_2020/html/Liu_Unsupervised_Learning_for_Intrinsic_Image_Decomposition_From_a_Single_Image_CVPR_2020_paper.html	Yunfei Liu, Yu Li, Shaodi You, Feng Lu	
4	COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification	https://openaccess.thecvf.com/content_CVPR_2020/html/Yu_COCAS_A_Large-Scale_Clothes_Changing_Person_Dataset_for_Re-Identification_CVPR_2020_paper.html	Shijie Yu, Shihua Li, Dapeng Chen, Rui Zhao, Junjie Yan, Yu Qiao	
5	Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference	https://openaccess.thecvf.com/content_CVPR_2020/html/Verelst_Dynamic_Convolutions_Exploiting_Spatial_Sparsity_for_Faster_Inference_CVPR_2020_paper.html	Thomas Verelst, Tinne Tuytelaars	
6	Alleviation of Gradient Exploding in GANs: Fake Can Be Real	https://openaccess.thecvf.com/content_CVPR_2020/html/Tao_Alleviation_of_Gradient_Exploding_in_GANs_Fake_Can_Be_Real_CVPR_2020_paper.html	Song Tao, Jia Wang	
7	Forward and Backward Information Retention for Accurate Binary Neural Networks	https://openaccess.thecvf.com/content_CVPR_2020/html/Qin_Forward_and_Backward_Information_Retention_for_Accurate_Binary_Neural_Networks_CVPR_2020_paper.html	Haotong Qin, Ruihao Gong, Xianglong Liu, Mingzhu Shen, Ziran Wei, Fengwei Yu, Jingkuan Song	
8	Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises	https://openaccess.thecvf.com/content_CVPR_2020/html/Yan_Cooling-Shrinking_Attack_Blinding_the_Tracker_With_Imperceptible_Noises_CVPR_2020_paper.html	Bin Yan, Dong Wang, Huchuan Lu, Xiaoyun Yang	
9	Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution	https://openaccess.thecvf.com/content_CVPR_2020/html/Xiang_Zooming_Slow-Mo_Fast_and_Accurate_One-Stage_Space-Time_Video_Super-Resolution_CVPR_2020_paper.html	Xiaoyu Xiang, Yapeng Tian, Yulun Zhang, Yun Fu, Jan P. Allebach, Chenliang Xu	
10	A Hierarchical Graph Network for 3D Object Detection on Point Clouds	https://openaccess.thecvf.com/content_CVPR_2020/html/Chen_A_Hierarchical_Graph_Network_for_3D_Object_Detection_on_Point_CVPR_2020_paper.html	Jintai Chen, Biwen Lei, Qingyu Song, Haochao Ying, Danny Z. Chen, Jian Wu	
11	Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification	https://openaccess.thecvf.com/content_CVPR_2020/html/Zhou_Online_Joint_Multi-Metric_Adaptation_From_Frequent_Sharing-Subset_Mining_for_Person_CVPR_2020_paper.html	Jiahuan Zhou, Bing Su, Ying Wu	
